Rank	Name	Country/Region	Score	
151–175	University of Bergen	Norway	48.9–50.5	
151–175	University of Bern	Switzerland	48.9–50.5	
151–175	University of Bremen	Germany	48.9–50.5	
151–175	University of Delaware	United States	48.9–50.5	
151–175	Durham University	United Kingdom	48.9–50.5	
151–175	École Normale Supérieure de Lyon	France	48.9–50.5	
151–175	Goethe University Frankfurt	Germany	48.9–50.5	
151–175	Lancaster University	United Kingdom	48.9–50.5	
151–175	University of Liverpool	United Kingdom	48.9–50.5	
151–175	Université Catholique de Louvain	Belgium	48.9–50.5	
151–175	Nanjing University	China	48.9–50.5	
151–175	University of Oregon	United States	48.9–50.5	
151–175	Queen’s University Belfast	United Kingdom	48.9–50.5	
151–175	Royal Veterinary College	United Kingdom	48.9–50.5	
151–175	Rutgers, the State University of New Jersey	United States	48.9–50.5	
151–175	Scuola Superiore Sant’Anna	Italy	48.9–50.5	
151–175	University of Strasbourg	France	48.9–50.5	
151–175	Tohoku University	Japan	48.9–50.5	
151–175	Ulm University	Germany	48.9–50.5	
151–175	University College Cork	Ireland	48.9–50.5	
151–175	University of Utah	United States	48.9–50.5	
151–175	University of Virginia	United States	48.9–50.5	
176–200	University of Antwerp	Belgium	46.2–48.8	
176–200	Autonomous University of Barcelona	Spain	46.2–48.8	
176–200	Bangor University	United Kingdom	46.2–48.8	
176–200	University of Bayreuth	Germany	46.2–48.8	
176–200	University of Bordeaux	France	46.2–48.8	
176–200	Delft University of Technology	Netherlands	46.2–48.8	
176–200	George Washington University	United States	46.2–48.8	
176–200	University of Gothenburg	Sweden	46.2–48.8	
176–200	University of Hamburg	Germany	46.2–48.8	
176–200	University of Hawai’i at Mānoa	United States	46.2–48.8	
176–200	Hokkaido University	Japan	46.2–48.8	
176–200	La Trobe University	Australia	46.2–48.8	
176–200	Université Libre de Bruxelles	Belgium	46.2–48.8	
176–200	Macquarie University	Australia	46.2–48.8	
176–200	Montpellier University	France	46.2–48.8	
176–200	North Carolina State University	United States	46.2–48.8	
176–200	University of Otago	New Zealand	46.2–48.8	
176–200	Plymouth University	United Kingdom	46.2–48.8	
176–200	University of Potsdam	Germany	46.2–48.8	
176–200	Queensland University of Technology	Australia	46.2–48.8	
176–200	University of Rochester	United States	46.2–48.8	
176–200	Sungkyunkwan University (SKKU)	South Korea	46.2–48.8	
176–200	Texas A&M University	United States	46.2–48.8	
176–200	Tufts University	United States	46.2–48.8	
176–200	University College Dublin	Ireland	46.2–48.8	
201–250	Aix-Marseille University	France	41.9–46.1	
201–250	Autonomous University of Madrid	Spain	41.9–46.1	
201–250	University of Bath	United Kingdom	41.9–46.1	
201–250	Brandeis University	United States	41.9–46.1	
201–250	University of Calgary	Canada	41.9–46.1	
201–250	University of Canterbury	New Zealand	41.9–46.1	
201–250	Case Western Reserve University	United States	41.9–46.1	
201–250	Charles Darwin University	Australia	41.9–46.1	
201–250	Colorado State University	United States	41.9–46.1	
201–250	University of Eastern Finland	Finland	41.9–46.1	
201–250	University of Fribourg	Switzerland	41.9–46.1	
201–250	Grenoble Alpes University	France	41.9–46.1	
201–250	University of Hohenheim	Germany	41.9–46.1	
201–250	Indian Institute of Science	India	41.9–46.1	
201–250	University of Innsbruck	Austria	41.9–46.1	
201–250	University of Iowa	United States	41.9–46.1	
201–250	Johannes Gutenberg University of Mainz	Germany	41.9–46.1	
201–250	Keio University	Japan	41.9–46.1	
201–250	University of Kent	United Kingdom	41.9–46.1	
201–250	University of Kiel	Germany	41.9–46.1	
201–250	Kyushu University	Japan	41.9–46.1	
201–250	Laval University	Canada	41.9–46.1	
201–250	University of Leicester	United Kingdom	41.9–46.1	
201–250	Massey University	New Zealand	41.9–46.1	
201–250	University of Miami	United States	41.9–46.1	
201–250	University of Montana	United States	41.9–46.1	
201–250	National Taiwan University	Taiwan, China	41.9–46.1	
201–250	National Tsing Hua University	Taiwan, China	41.9–46.1	
201–250	University of Neuchâtel	Switzerland	41.9–46.1	
201–250	Northern Arizona University	United States	41.9–46.1	
201–250	University of Padua	Italy	41.9–46.1	
201–250	Paris Diderot University – Paris 7	France	41.9–46.1	
201–250	University of Rovira i Virgili	Spain	41.9–46.1	
201–250	Ruhr University Bochum	Germany	41.9–46.1	
201–250	Saint Petersburg State University	Russian Federation	41.9–46.1	
201–250	San Diego State University	United States	41.9–46.1	
201–250	Simon Fraser University	Canada	41.9–46.1	
201–250	University of Southern Denmark	Denmark	41.9–46.1	
201–250	Stellenbosch University	South Africa	41.9–46.1	
201–250	University of Stirling	United Kingdom	41.9–46.1	
201–250	University of Sussex	United Kingdom	41.9–46.1	
201–250	Technion Israel Institute of Technology	Israel	41.9–46.1	
201–250	University of Technology Sydney	Australia	41.9–46.1	
201–250	Tel Aviv University	Israel	41.9–46.1	
201–250	Tokyo Institute of Technology	Japan	41.9–46.1	
201–250	University of Trento	Italy	41.9–46.1	
201–250	University of Turku	Finland	41.9–46.1	
201–250	University of Victoria	Canada	41.9–46.1	
201–250	Wake Forest University	United States	41.9–46.1	
201–250	Washington State University	United States	41.9–46.1	
251–300	University of Alaska Fairbanks	United States	38.4–41.8	
251–300	Alfaisal University	Saudi Arabia	38.4–41.8	
251–300	Bielefeld University	Germany	38.4–41.8	
251–300	Boston College	United States	38.4–41.8	
251–300	University of Cincinnati	United States	38.4–41.8	
251–300	Claude Bernard University Lyon 1	France	38.4–41.8	
251–300	University of Coimbra	Portugal	38.4–41.8	
251–300	University of Connecticut	United States	38.4–41.8	
251–300	University of Crete	Greece	38.4–41.8	
251–300	Dalhousie University	Canada	38.4–41.8	
251–300	Deakin University	Australia	38.4–41.8	
251–300	Dublin City University	Ireland	38.4–41.8	
251–300	University of Electronic Science and Technology of China	China	38.4–41.8	
251–300	Federal University of Toulouse Midi-Pyrénées	France	38.4–41.8	
251–300	University of Georgia	United States	38.4–41.8	
251–300	University of Graz	Austria	38.4–41.8	
251–300	Griffith University	Australia	38.4–41.8	
251–300	Hanyang University	South Korea	38.4–41.8	
251–300	Hasselt University	Belgium	38.4–41.8	
251–300	Heriot-Watt University	United Kingdom	38.4–41.8	
251–300	University of Hull	United Kingdom	38.4–41.8	
251–300	University of Illinois at Chicago	United States	38.4–41.8	
251–300	Indian Institute of Technology Bombay	India	38.4–41.8	
251–300	University of Kaiserslautern	Germany	38.4–41.8	
251–300	Korea University	South Korea	38.4–41.8	
251–300	University of Liège	Belgium	38.4–41.8	
251–300	Loughborough University	United Kingdom	38.4–41.8	
251–300	University of Macau	Macao	38.4–41.8	
251–300	University of Marburg	Germany	38.4–41.8	
251–300	Marche Polytechnic University	Italy	38.4–41.8	
251–300	Memorial University of Newfoundland	Canada	38.4–41.8	
251–300	University of Milan	Italy	38.4–41.8	
251–300	University of Milan-Bicocca	Italy	38.4–41.8	
251–300	Murdoch University	Australia	38.4–41.8	
251–300	National University of Ireland, Galway	Ireland	38.4–41.8	
251–300	University of Nebraska-Lincoln	United States	38.4–41.8	
251–300	University of Pavia	Italy	38.4–41.8	
251–300	University of Pisa	Italy	38.4–41.8	
251–300	University of Québec	Canada	38.4–41.8	
251–300	Sapienza University of Rome	Italy	38.4–41.8	
251–300	Southern Cross University	Australia	38.4–41.8	
251–300	University of Split	Croatia	38.4–41.8	
251–300	State University of Campinas	Brazil	38.4–41.8	
251–300	The University of Texas-Knoxville	United States	38.4–41.8	
251–300	Tokyo Medical and Dental University (TMDU)	Japan	38.4–41.8	
251–300	UiT The Arctic University of Norway	Norway	38.4–41.8	
251–300	Université de Versailles Saint-Quentin-en-Yvelines	France	38.4–41.8	
251–300	Vrije Universiteit Brussel	Belgium	38.4–41.8	
251–300	Western Sydney University	Australia	38.4–41.8	
251–300	University of Wollongong	Australia	38.4–41.8	
301–400	Aligarh Muslim University	India	31.0–38.3	
301–400	Auckland University of Technology	New Zealand	31.0–38.3	
301–400	University of Aveiro	Portugal	31.0–38.3	
301–400	Ben-Gurion University of the Negev	Israel	31.0–38.3	
301–400	Blaise Pascal University	France	31.0–38.3	
301–400	University of Bologna	Italy	31.0–38.3	
301–400	Université Bourgogne Franche-Comté (UBFC)	France	31.0–38.3	
301–400	University at Buffalo	United States	31.0–38.3	
301–400	University of Canberra	Australia	31.0–38.3	
301–400	University of Catania	Italy	31.0–38.3	
301–400	Central China Normal University	China	31.0–38.3	
301–400	Charles University in Prague	Czech Republic	31.0–38.3	
301–400	University of Chile	Chile	31.0–38.3	
301–400	China Agricultural University	China	31.0–38.3	
301–400	Complutense University of Madrid	Spain	31.0–38.3	
301–400	Creighton University	United States	31.0–38.3	
301–400	East China Normal University	China	31.0–38.3	
301–400	East China University of Science and Technology	China	31.0–38.3	
301–400	Edith Cowan University	Australia	31.0–38.3	
301–400	Eötvös Loránd University	Hungary	31.0–38.3	
301–400	University of Essex	United Kingdom	31.0–38.3	
301–400	University of Ferrara	Italy	31.0–38.3	
301–400	University of Florence	Italy	31.0–38.3	
301–400	Fuzhou University	China	31.0–38.3	
301–400	University of Genoa	Italy	31.0–38.3	
301–400	George Mason University	United States	31.0–38.3	
301–400	University of Greifswald	Germany	31.0–38.3	
301–400	Gwangju Institute of Science and Technology	South Korea	31.0–38.3	
301–400	University of Houston	United States	31.0–38.3	
301–400	Indian Institute of Technology Delhi	India	31.0–38.3	
301–400	Justus Liebig University Giessen	Germany	31.0–38.3	
301–400	University of Jyväskylä	Finland	31.0–38.3	
301–400	Kansas State University	United States	31.0–38.3	
301–400	Keele University	United Kingdom	31.0–38.3	
301–400	King Saud University	Saudi Arabia	31.0–38.3	
301–400	University of Lille	France	31.0–38.3	
301–400	University of Limerick	Ireland	31.0–38.3	
301–400	Lincoln University	New Zealand	31.0–38.3	
301–400	University of Lisbon	Portugal	31.0–38.3	
301–400	Liverpool John Moores University	United Kingdom	31.0–38.3	
301–400	University of Lorraine	France	31.0–38.3	
301–400	Louisiana State University	United States	31.0–38.3	
301–400	Mahidol University	Thailand	31.0–38.3	
301–400	University of Malaya	Malaysia	31.0–38.3	
301–400	University of Manitoba	Canada	31.0–38.3	
301–400	University of Maryland, Baltimore County	United States	31.0–38.3	
301–400	Masaryk University	Czech Republic	31.0–38.3	
301–400	Medical College of Wisconsin	United States	31.0–38.3	
301–400	University of Missouri	United States	31.0–38.3	
301–400	University of Modena and Reggio Emilia	Italy	31.0–38.3	
301–400	Montana State University	United States	31.0–38.3	
301–400	Monterrey Institute of Technology and Higher Education	Mexico	31.0–38.3	
301–400	National and Kapodistrian University of Athens	Greece	31.0–38.3	
301–400	National Autonomous University of Mexico	Mexico	31.0–38.3	
301–400	National Chiao Tung University	Taiwan, China	31.0–38.3	
301–400	University of Nebraska Medical Center	United States	31.0–38.3	
301–400	University of Newcastle	Australia	31.0–38.3	
301–400	University of North Carolina at Greensboro	United States	31.0–38.3	
301–400	Norwegian University of Life Sciences	Norway	31.0–38.3	
301–400	University of Oklahoma	United States	31.0–38.3	
301–400	University of Ottawa	Canada	31.0–38.3	
301–400	University of Oviedo	Spain	31.0–38.3	
301–400	University of Parma	Italy	31.0–38.3	
301–400	Polytechnic University of Valencia	Spain	31.0–38.3	
301–400	Pontifical Catholic University of Chile	Chile	31.0–38.3	
301–400	University of Porto	Portugal	31.0–38.3	
301–400	University of Pretoria	South Africa	31.0–38.3	
301–400	Queen’s University	Canada	31.0–38.3	
301–400	University of Rome II – Tor Vergata	Italy	31.0–38.3	
301–400	University of Salento	Italy	31.0–38.3	
301–400	University of Saskatchewan	Canada	31.0–38.3	
301–400	Semmelweis University	Hungary	31.0–38.3	
301–400	Université de Sherbrooke	Canada	31.0–38.3	
301–400	University of Siena	Italy	31.0–38.3	
301–400	Soochow University	China	31.0–38.3	
301–400	University of South Carolina	United States	31.0–38.3	
301–400	South China University of Technology	China	31.0–38.3	
301–400	University of Stuttgart	Germany	31.0–38.3	
301–400	Sun Yat-sen University	China	31.0–38.3	
301–400	University of Surrey	United Kingdom	31.0–38.3	
301–400	Technical University of Darmstadt	Germany	31.0–38.3	
301–400	University of Texas at San Antonio	United States	31.0–38.3	
301–400	Tokyo University of Science	Japan	31.0–38.3	
301–400	University of Toledo	United States	31.0–38.3	
301–400	University of Trieste	Italy	31.0–38.3	
301–400	University of Tsukuba	Japan	31.0–38.3	
301–400	University of Turin	Italy	31.0–38.3	
301–400	University of Valencia	Spain	31.0–38.3	
301–400	Verona University	Italy	31.0–38.3	
301–400	Victoria University	Australia	31.0–38.3	
301–400	Virginia Polytechnic Institute and State University	United States	31.0–38.3	
301–400	University of Warsaw	Poland	31.0–38.3	
301–400	Wayne State University	United States	31.0–38.3	
301–400	Western University	Canada	31.0–38.3	
301–400	William & Mary	United States	31.0–38.3	
301–400	Wuhan University	China	31.0–38.3	
301–400	Xiamen University	China	31.0–38.3	
301–400	Yokohama City University	Japan	31.0–38.3	
301–400	Yonsei University (Seoul campus)	South Korea	31.0–38.3	
301–400	York University	Canada	31.0–38.3	
401–500	Adam Mickiewicz University	Poland	21.4–30.7	
401–500	Ajou University	South Korea	21.4–30.7	
401–500	University of Alcalá	Spain	21.4–30.7	
401–500	University of Algarve	Portugal	21.4–30.7	
401–500	University of Alicante	Spain	21.4–30.7	
401–500	University of Almería	Spain	21.4–30.7	
401–500	American University of Beirut	Lebanon	21.4–30.7	
401–500	Andrés Bello University (UNAB)	Chile	21.4–30.7	
401–500	Annamalai University	India	21.4–30.7	
401–500	Aristotle University of Thessaloniki	Greece	21.4–30.7	
401–500	University of Arkansas	United States	21.4–30.7	
401–500	Asia University, Taiwan	Taiwan, China	21.4–30.7	
401–500	Auburn University	United States	21.4–30.7	
401–500	Austral University of Chile	Chile	21.4–30.7	
401–500	Babeş-Bolyai University	Romania	21.4–30.7	
401–500	University of Bari Aldo Moro	Italy	21.4–30.7	
401–500	Bar-Ilan University	Israel	21.4–30.7	
401–500	University of Brasília	Brazil	21.4–30.7	
401–500	Brunel University London	United Kingdom	21.4–30.7	
401–500	University of Bucharest	Romania	21.4–30.7	
401–500	University of Cagliari	Italy	21.4–30.7	
401–500	University of Calabria	Italy	21.4–30.7	
401–500	University of Calcutta	India	21.4–30.7	
401–500	Chang Gung University	Taiwan, China	21.4–30.7	
401–500	Chiba University	Japan	21.4–30.7	
401–500	COMSATS Institute of Information Technology	Pakistan	21.4–30.7	
401–500	Dalian University of Technology	China	21.4–30.7	
401–500	University of Delhi	India	21.4–30.7	
401–500	Ehime University	Japan	21.4–30.7	
401–500	Federal University of Minas Gerais	Brazil	21.4–30.7	
401–500	Federal University of Rio de Janeiro	Brazil	21.4–30.7	
401–500	Federal University of São Paulo (UNIFESP)	Brazil	21.4–30.7	
401–500	Florida International University	United States	21.4–30.7	
401–500	Georgia State University	United States	21.4–30.7	
401–500	University of Granada	Spain	21.4–30.7	
401–500	University of Haifa	Israel	21.4–30.7	
401–500	Hiroshima University	Japan	21.4–30.7	
401–500	Huazhong Agricultural University	China	21.4–30.7	
401–500	Huazhong University of Science and Technology	China	21.4–30.7	
401–500	Indian Institute of Technology Guwahati	India	21.4–30.7	
401–500	Indian Institute of Technology Roorkee	India	21.4–30.7	
401–500	Isfahan University of Technology	Iran	21.4–30.7	
401–500	Istanbul University	Turkey	21.4–30.7	
401–500	Jagiellonian University	Poland	21.4–30.7	
401–500	Jinan University	China	21.4–30.7	
401–500	Juntendo University	Japan	21.4–30.7	
401–500	Kagawa University	Japan	21.4–30.7	
401–500	Kanazawa University	Japan	21.4–30.7	
401–500	Kaohsiung Medical University	Taiwan, China	21.4–30.7	
401–500	Kazan Federal University	Russian Federation	21.4–30.7	
401–500	Kobe University	Japan	21.4–30.7	
401–500	Konkuk University	South Korea	21.4–30.7	
401–500	Kumamoto University	Japan	21.4–30.7	
401–500	Kuwait University	Kuwait	21.4–30.7	
401–500	University of KwaZulu-Natal	South Africa	21.4–30.7	
401–500	Kyung Hee University	South Korea	21.4–30.7	
401–500	Leibniz University of Hanover	Germany	21.4–30.7	
401–500	University of Ljubljana	Slovenia	21.4–30.7	
401–500	Makerere University	Uganda	21.4–30.7	
401–500	Manchester Metropolitan University	United Kingdom	21.4–30.7	
401–500	University of Murcia	Spain	21.4–30.7	
401–500	Nagasaki University	Japan	21.4–30.7	
401–500	Nanjing Agricultural University	China	21.4–30.7	
401–500	National Central University	Taiwan, China	21.4–30.7	
401–500	National Taiwan Ocean University	Taiwan, China	21.4–30.7	
401–500	National Yang-Ming University	Taiwan, China	21.4–30.7	
401–500	New Mexico State University	United States	21.4–30.7	
401–500	Northumbria University	United Kingdom	21.4–30.7	
401–500	NorthWest A&F University	China	21.4–30.7	
401–500	Okayama University	Japan	21.4–30.7	
401–500	Oklahoma State University	United States	21.4–30.7	
401–500	Palacký University in Olomouc	Czech Republic	21.4–30.7	
401–500	University of Palermo	Italy	21.4–30.7	
401–500	Panjab University	India	21.4–30.7	
401–500	University of Patras	Greece	21.4–30.7	
401–500	Pontifical Catholic University of Rio Grande do Sul (PUCRS)	Brazil	21.4–30.7	
401–500	University of Portsmouth	United Kingdom	21.4–30.7	
401–500	Quaid-i-azam University	Pakistan	21.4–30.7	
401–500	Saint Louis University	United States	21.4–30.7	
401–500	Saitama University	Japan	21.4–30.7	
401–500	University of Salamanca	Spain	21.4–30.7	
401–500	University of Salford	United Kingdom	21.4–30.7	
401–500	University of Santiago de Compostela	Spain	21.4–30.7	
401–500	São Paulo State University (UNESP)	Brazil	21.4–30.7	
401–500	University of Sassari	Italy	21.4–30.7	
401–500	Savitribai Phule Pune University	India	21.4–30.7	
401–500	University of Seville	Spain	21.4–30.7	
401–500	University of South Dakota	United States	21.4–30.7	
401–500	Southeast University	China	21.4–30.7	
401–500	University of Southern Mississippi	United States	21.4–30.7	
401–500	Sultan Qaboos University	Oman	21.4–30.7	
401–500	University of the Sunshine Coast	Australia	21.4–30.7	
401–500	Texas Tech University	United States	21.4–30.7	
401–500	Tokyo University of Agriculture and Technology	Japan	21.4–30.7	
401–500	Tongji University	China	21.4–30.7	
401–500	Ulster University	United Kingdom	21.4–30.7	
401–500	United Arab Emirates University	United Arab Emirates	21.4–30.7	
401–500	University of Vigo	Spain	21.4–30.7	
401–500	Waseda University	Japan	21.4–30.7	
401–500	University of Windsor	Canada	21.4–30.7	
401–500	Xi’an Jiaotong University	China	21.4–30.7	
401–500	University of Zaragoza	Spain	21.4–30.7	
